rated_at,type,title,year,trakt_rating,trakt_id,imdb_id,tmdb_id,tvdb_id,url,released,season_number,episode_number,episode_title,episode_released,episode_trakt_rating,episode_trakt_id,episode_imdb_id,episode_tmdb_id,episode_tvdb_id,genres,rating
2024-11-01T10:40:56.677497,movie,I Saw the Light,2016,,,tt1490785,297806,,https://www.themoviedb.org/movie/297806,2016-02-05,,,,,,,,,,,6.3
2024-11-01T10:40:56.887981,movie,A Millionaire's First Love,2006,,,tt0757157,40211,,https://www.themoviedb.org/movie/40211,2006-02-09,,,,,,,,,,,7.3
2024-11-01T10:40:57.094960,movie,Vampire Academy,2014,,,tt1686821,203739,,https://www.themoviedb.org/movie/203739,2014-02-07,,,,,,,,,,,6.332
2024-11-01T10:40:57.306855,movie,The Cheetah Girls,2003,,,tt0338852,32293,,https://www.themoviedb.org/movie/32293,2003-08-15,,,,,,,,,,,6.0
2024-11-01T10:40:57.520714,movie,Babylon 5: The Lost Tales - Voices in the Dark,2007,,,tt0871427,15289,,https://www.themoviedb.org/movie/15289,2007-09-03,,,,,,,,,,,6.4
2024-11-01T10:40:57.727594,movie,Cowspiracy: The Sustainability Secret,2014,,,tt3302820,282297,,https://www.themoviedb.org/movie/282297,2014-07-01,,,,,,,,,,,7.7
2024-11-01T10:40:57.936733,movie,The Story of Qiu Ju,1992,,,tt0105197,38143,,https://www.themoviedb.org/movie/38143,1992-08-31,,,,,,,,,,,7.3
2024-11-01T10:40:58.152621,movie,The Mirror Crack'd,1980,,,tt0081163,6028,,https://www.themoviedb.org/movie/6028,1980-09-19,,,,,,,,,,,6.147
2024-11-01T10:40:58.360506,movie,The School of the Magical Animals,2021,,,tt11455260,793937,,https://www.themoviedb.org/movie/793937,2021-10-14,,,,,,,,,,,6.2
2024-11-01T10:40:58.568049,movie,The Square,2017,,,tt4995790,401246,,https://www.themoviedb.org/movie/401246,2017-08-25,,,,,,,,,,,6.8
2024-11-01T10:40:58.771906,movie,What Doesn't Kill You,2008,,,tt1133991,15801,,https://www.themoviedb.org/movie/15801,2008-12-12,,,,,,,,,,,6.0
2024-11-01T10:40:58.978798,movie,Euphoria,2018,,,tt5698320,407440,,https://www.themoviedb.org/movie/407440,2018-02-01,,,,,,,,,,,6.3
2024-11-01T10:40:59.184670,movie,Sorry We Missed You,2019,,,tt8359816,522369,,https://www.themoviedb.org/movie/522369,2019-10-04,,,,,,,,,,,7.4
2024-11-01T10:41:00.037889,movie,The Face of Another,1966,,,tt0061065,29452,,https://www.themoviedb.org/movie/29452,1966-07-15,,,,,,,,,,,7.8
2024-11-01T10:41:00.243560,movie,...And Justice for All,1979,,,tt0078718,17443,,https://www.themoviedb.org/movie/17443,1979-10-19,,,,,,,,,,,7.1
2024-11-01T10:41:00.453421,movie,One Night in Bangkok,2020,,,tt12192190,721452,,https://www.themoviedb.org/movie/721452,2020-08-25,,,,,,,,,,,6.7
2024-11-01T10:41:00.673295,movie,Penguin Highway,2018,,,tt8076344,508422,,https://www.themoviedb.org/movie/508422,2018-08-17,,,,,,,,,,,7.1
2024-11-01T10:41:00.918155,movie,"4 Months, 3 Weeks and 2 Days",2007,,,tt1032846,2009,,https://www.themoviedb.org/movie/2009,2007-08-24,,,,,,,,,,,7.539
2024-11-01T10:41:01.130032,movie,The Spy Who Came in from the Cold,1965,,,tt0059749,13580,,https://www.themoviedb.org/movie/13580,1965-12-16,,,,,,,,,,,7.043
2024-11-01T10:41:01.339911,movie,Cowboy,1958,,,tt0051496,39435,,https://www.themoviedb.org/movie/39435,1958-01-23,,,,,,,,,,,6.305
2024-11-01T10:41:01.549792,movie,Excess Baggage,1997,,,tt0119086,26180,,https://www.themoviedb.org/movie/26180,1997-08-29,,,,,,,,,,,6.1
2024-11-01T10:41:01.758691,movie,The Wailer,2006,,,tt0823726,116946,,https://www.themoviedb.org/movie/116946,2006-06-20,,,,,,,,,,,6.9
2024-11-01T10:41:02.115164,movie,The King's Choice,2016,,,tt4353996,396616,,https://www.themoviedb.org/movie/396616,2016-09-29,,,,,,,,,,,6.9
2024-11-01T10:41:02.324037,movie,Blood Work,2002,,,tt0309377,9573,,https://www.themoviedb.org/movie/9573,2002-08-09,,,,,,,,,,,6.2
2024-11-01T10:41:02.544900,movie,Spycies,2020,,,tt8028842,550738,,https://www.themoviedb.org/movie/550738,2020-01-11,,,,,,,,,,,7.4
2024-11-01T10:41:02.767773,movie,Wake of Death,2004,,,tt0367478,14172,,https://www.themoviedb.org/movie/14172,2004-12-28,,,,,,,,,,,6.1
2024-11-01T10:41:03.001934,movie,Tower of Terror,1999,,,tt0131620,43274,,https://www.themoviedb.org/movie/43274,1999-11-01,,,,,,,,,,,6.4
